objectid,name
188,go
13715,Surakarta
88,Torres
320,Scrabble
181,Risk
13,The Settlers of Catan
1797,Pay Day
1219,Labyrinth
4616,Arimaa
3570,Chicken Cha Cha Cha
3886,nine men's morris
432,Take 5
483,Diplomacy
63141,Speculation
45,Liar's Dice
5,Acquire
27443,baccarat
60,Vinci
4394,The Settlers of the Stone Age
16986,Ubongo
526,Abalone
2181,contract bridge
555,The Princes of Florence
10653,Pirates Constructible Strategy Game
1261,Medina
6866,mus
69,Bōku
30932,Lascaux
305,The Flying Dutchman
66,Löwenherz
61,Fossil
3071,Blood Bowl
5709,Touché
5255,Gorkamorka
10814,Dawn Under
902,Mutineer
40628,Finca
943,Ligretto
173,Formula D
152,Mü & More
199,Manhattan
41,Can't Stop
150,Carabande
2116,Cardino
10716,Kemps
28,Illuminati
118,Modern Art
1597,Streetcar
10,Elfenland
1730,Coppit
1258,Phase 10
121,Dune
132,Caesar & Cleopatra
214,Café International
244,Circus Maximus
3967,Battlefleet Gothic
128,Take It Easy
11330,Jass
256,Mississippi Queen
15,Cosmic Encounter
34,Arkham Horror (1st Edition)
18,RoboRally
25417,BattleLore
1115,poker
27,Supremacy
497,Vampire
46,Medici
12,Ra
2363,Orient Express
1535,Formula 1
13260,CLOWN
645,Bosworth
228,Lunch Money
619,Bottle Imp
2679,Mouse Trap
4522,The Ladybug's Costume Party
130,Iron Dragon
45,Liar's dice
2779,Sauron
772,Ausbrecher AG
614,Rubik's Puzzle Match
926,Catan: Cities & Knights
230,Merchant of Venus
2821,Uno Stacko
10013,La Foi et le Glaive
8395,Giganten (board game)
26,Age of Renaissance
74,Apples to Apples
6282,Azhanti High Lightning
1032,"B-17, Queen of the Skies"
96,Broadsides and Boarding Parties
254,Empires in Arms
14832,Assault Across the Suez
1901,Star Fleet Battle Force
5824,The Kids of Catan
126,The Really Nasty Horse Racing Game
450,Octi
423,1856: Railroading in Upper Canada from 1856
19030,Frankenstein
33160,Endeavor
54,Tikal
116,Guillotine
380,Polarity
1159,Evo
232,Serenissima
28989,Garçon
196,Kremlin
50,Lost Cities
42,Tigris and Euphrates
286,Machiavelli
175,Beat the Buzzard
2346,DVONN
12589,Razzia!
528,ZÈRTZ
72,Traitor
118610,Santa Cruz
7006,Management
67,Conquest
7,Cathedral
30,Dark Tower
5770,Orchard
94,Union Pacific
73439,Troyes
3085,Gang of Four
14982,Revenge of the Dinosaurs
53953,Thunderstone
392,Brawl
542,Democrazy
335,Breakthru
11730,Diam
4282,Farkle
3319,Neutreeko
168,Empire Builder
1599,StarGate
1717,Freedom in the Galaxy
76,Air Baron
639,American Megafauna
3616,BattleForce
13765,Bizingo
14258,Blood Feud in New York
1817,Devil Bunny Hates the Earth
1420,Don't Go to Jail
6411,Rumis
115,I'm the Boss!
679,Minion Hunter
8033,Search & Destroy: Tactical Combat Vietnam 1965-1966
1035,Squad Leader
484,Stratego: Legends
1202,The Sorcerer's Cave
2904,Third Reich/Great Pacific War series
12597,Thunder on South Mountain
3074,Uncle Wiggily
589,Wiz-War
103,Titan
10431,Epic
49,Mamma Mia!
2197,Kensington
22287,Buccaneer
57,Schoko & Co.
1702,Klondike
545,Kaleidos
242,Junta
93,El Grande
700,Battle Masters
51,Ricochet Robots
1117,You're Bluffing
442,Um Reifenbreite
95,Igel Ärgern
485,Galloping Pigs
58,Kings & Things
444,Escape from the Hidden Castle
438,Scotland Yard
2987,Pirate's Cove
98,Axis & Allies
5400,janggi
10630,Memoir '44
11,Bohnanza
3626,Demons
804,Thunder Road
2613,Intruder
1428,Image
4123,Gambler
1405,Adventurer
1679,Carrier
827,Attila
3084,Buccaneer
13373,Choco
3125,7th Sea
119974,Syzygy
4025,Lankhmar
3151,Star Fighter
321,Mole in the Hole
62,Curse of the Mummy's Tomb
325,Seafarers of Catan
6919,Invasion: Earth
3487,BattleTech Collectible Card Game
8063,Ghettopoly
759,Turning Point: Stalingrad
404,Worm up!
403,Elk Fest
310,Wizard's Quest
7535,Timelag
10510,Piepmatz
29741,Banqi
1443,Alpha Blitz
22552,Bugs! Bugs! Bugs!
6541,Articulate!
3162,Invasion of the Air-eaters
3560,Ice War
3553,Close Action
6205,Europe Engulfed
3674,Fast Attack Boats
720,Fast Food Franchise
36,Federation and Empire
3249,Rescue from the Hive
1631,Barbarian Prince
5876,Grav-Ball
2161,Tyranid Attack
2756,Alien Contact: Extraterrestrial Empires in Conflict
618,MLB Showdown
24417,Factory Fun
7263,Nertz
372,Schotten-Totten
2123,Shadowrun: The Trading Card Game
5177,DungeonQuest Legends
2802,War in Europe
104710,Wiz-War
2130,Young Jedi Collectible Card Game
7834,3-stones
1773,Dawn of the Dead
2903,The Hunt for Red October
3673,Hot Spot
40,Borderlands
122298,Fungi
4009,Breitenfeld
1709,Trireme
3706,Batik
1536,Lord of the Fries
1772,Asteroid
178053,Schatz-Rabatz
19999,Aton
2076,Gulf Strike
2277,Lose Your Shirt
202,Targui
1632,Shapeshifters
17393,Pax Romana
3993,Necromancer
3160,Holy War
121041,Pluckin' Pairs
169,En Garde
13801,Napoleon's Last Campaigns
157,Eurorails
29,Terrain Vague
3341,Burn Rate
21854,Los Mampfos
28181,Combat Commander: Pacific
15158,Carcassonne: Expansion 3 - The Princess & The Dragon
235927,Dino World
18158,Manassas
3848,Ultimate Combat!
3637,Triplanetary
116484,Euro Miljonairs
3251,Barbarian Kings
219215,Werewords
22,Magic Realm
339,Quiddler
420,Rail Baron
3966,The Succession Wars
1729,Wide World
239,"Wagram: The Peace of Vienna, 5-6 July 1809"
75,Falling
446,Avalanche
3608,Air Force
1475,Careers
594,Sleuth
1662,Napoleon
1542,Calamity
992,Alcazar
620,We the People
1593,Down with the King
765,Space Walk
23920,Border Reivers
11971,Cockroach Poker
22877,Fields of Fire
1190,Continuo
508,Blue Max
16778,Magneton
1992,Stop Thief
2259,Afrika Korps
1613,Which Witch?
2499,Equate
119,Kingdoms
24,Twilight Imperium
4977,VOR: The Maelstrom
237,Wooden Ships and Iron Men
283,Advanced Third Reich
177,Advanced Civilization
330,Block Mania
17804,Dungeons & Dragons Basic Game
2115,Free Parking
2728,Game of the Generals
3685,Hammer of the Scots
43015,Hansa Teutonica
2995,Sniper!
117,Ta Yü
2063,The Great Khan Game
944,Mag·Blast
427,Grass
221,Shogun
6368,King Arthur
9220,Saboteur
826,Cartagena
9216,Goa
4286,A Game of Thrones
701,A House Divided
3417,Tribulation
553,Chez Geek
2047,Up the Creek
200,Entdecker
397,Diskwars
20694,Sillage
1421,Lost Worlds
124,Primordial Soup
153,Take 5!
108,TAMSK
1330,Savannah Café
227,Knightmare Chess
2425,Battleship
97,Conquest of the Empire
1771,Cosmic Coasters
748,Trax
19,Drunter und Drüber
215,Tichu
120,Hoity Toity
4192,Warhammer
1353,Time's Up!
4636,Clans
908,Tally Ho!
8098,Jungle Speed
4505,French tarot
1604,The Mad Magazine Game
340,Frank's Zoo
1770,Aliens
2812,Platoon
7566,The War of the Worlds
770,Loot
1693,Gladiator
856,"New York, New York"
220,High Society
23692,Stack
27356,Portobello Market
189,The Settlers of Nuremberg
110794,Catan Scenarios: Oil Springs
1762,HeroQuest: Kellar's Keep
194,Groo: The Game
13123,500
923,Breakaway Rider
4623,The Fast Carriers
85,Quebec 1759
1628,Elric
218,High-Bid
11027,Reich
260,Starship Troopers: Prepare for Battle!
45986,Stronghold
9022,In the Kingdom of the Polar Bear
56931,Arena: Roma II
144189,Fire in the Lake
1177,Die Ritter von der Haselnuss
4245,Asteroid Zero-Four
2376,The Wreck of the B.S.M. Pandora
202977,Cytosis: A Cell Biology Board Game
2746,Asteroid Pirates
21239,Rocketville
1145,City of Chaos
803,Dragonhunt
255,"Jena-Auerstadt: The Battle for Prussia, 14 October 1806"
3,Samurai
32337,About Time
2290,Ghosts
3931,Mare Nostrum
23418,Pursuit of Glory
1301,Netrunner
3720,Subbuteo
201,The Rose King
2955,Mexica
250,Colonial Diplomacy
23,Divine Right
1,Die Macher
20,Full Metal Planète
3435,Oh ! les nains
12316,Sky My Husband
1270,Star Wars Customizable Card Game
17,Button Men
12902,Carcassonne: The City
1561,Cluedo Master Detective
2129,Crossbows and Catapults
13777,Dablot Prejjesne
176,Give Me the Brain
1070,Shadows in the Forest
1197,Blink
2398,cribbage
135,Kontor
7338,Epaminondas
5782,Coloretto
224,History of the World
394,Kahuna
361,Hare and Tortoise
14447,Gothic Chess
478,Citadels
34856,circular chess
165,Black Box
71,Civilization
1634,Warhammer Quest
252,Borodino
11929,Gomoku
466,Inkognito
6647,Ecopolicy
382,Top Secret Spies
243,Advanced Squad Leader
3585,Sorcerer
416,A to Z
63,Samurai
754,Domain
1541,Mega-Mania
316,Chase
117985,Star Trek: Catan
4099,Keythedral
41019,Sherwood Forest
4278,Battle Over Britain
1629,Air War
4008,Cobra: Game of the Normandy Breakout
795,Dragonlance
77,EastFront
13269,Lee Moves North
3438,Shendao
821,La-Trel
111,Rheinländer
68,Successors
345584,Mindbug: First Contact
4255,Ney vs. Wellington: The Battle of Quatre Bras
3894,Brilliant Lances
721,Oregon Trail
15410,Walk the Dogs
359871,Arcs
81453,Famiglia
326199,"Stuffed Fables: Oh, Brother!"
1557,Space Empires
4195,War of the Ring: The Game of Middle Earth
1560,Hero: A Game of Adventure in the Catacombs
1792,Star Viking
2986,Web and Starship
4379,Bug-Eyed Monsters
15033,Australia
2405,Bezique
2392,Mastermind
11753,Nim
2653,Survive: Escape from Atlantis!
1293,Boggle
1373,Midway
487,Power
4271,Artifact
6634,Crescendo
3244,Hype
21654,Iliad
235,Blackbeard
2324,Last Frontier: The Vesuvius Incident
147,Crude: The Oil Game
6388,Star Wars: Battle at Sarlacc's Pit
1681,Tokyo Express: The Guadalcanal Naval Campaign – 1942
1924,Maloney's Inheritance
6792,Star Wars: Hoth Ice Planet Adventure
26193,Cum Laude
12826,Tumblin’ Monkeys
11132,Hitler's Last Gamble
112,Condottiere
5485,Atlantic Wall
39,Darkover
2082,Shell Shock!
6212,Doorways to Horror
58782,Bluffer
2697,Spice Navigator
1998,Tutankhamen's Revenge
13415,Star Empires
33628,Quizimaze
19948,Rum & Pirates
17209,Cineplexity
234,Hannibal: Rome vs. Carthage
37387,Steel Driver
43539,Battlestar Galactica: The Board Game
51811,Dominion: Seaside
5405,Carcassonne: Expansion 2 - Traders & Builders
37919,Ascending Empires
59,Giganten
6247,Pegity
3548,Assault on Hoth: The Empire Strikes Back
1910,Venice Connection
2215,They've Invaded Pleasantville
6687,Lords of the Middle Sea
2194,Chitin: I
7397,Atlantis - 12500 B.C.
4259,The Trojan War (board game)
2483,Viking Gods
25750,Space Marine Assault
4666,Fields of Honor: The American War for Independence
3376,The Company War
9736,"Crusader: Battle for Tobruk, November 1941"
27126,Strategy on rails
12005,Around the World in 80 Days
3347,Solo
36218,Dominion
3183,Car Wars
24181,Imperial
3230,Tyros
859,Illuminati
2087,Magic Dance
8939,Der wahre Walter
616,Egghead
11168,Flames of War
35575,Capablanca chess
4317,Mayday
20467,Conquest
62227,Labyrinth
16444,Battle of the Bulge
8095,Prophecy
77130,Civilization
30210,Dragons
21324,Abande
1380,Jockey
43034,Tonkin
109125,Wallenstein
18143,Rare Species
2428,Battle Cry
24247,Formula 1 Grand Prix
6112,Battle Dome
16620,Domination
19351,Dark Millennium
18144,Lensman
41789,Panzer Warfare
2160,Robots!
17534,Just 4 Fun
2228,War of the Ring
5205,G.E.V.
5867,10 Days in Europe
32514,South Dakota Trivia Trails
138161,Firefly: The Game
151228,"Eiertanz, Das Kartenspiel"
235944,Cheating Bumblebee
22457,Axis & Allies: Battle of the Bulge
8721,Hof Gap
28720,Brass: Lancashire
4390,Carcassonne: Hunters and Gatherers
7654,Challenge The Yankees
25337,Doctor Who – Battles in Time
31949,Fistful of TOWs
172933,Dragonwood
32674,Monsterpocalypse
23308,Pirates of the Caribbean Trading Card Game
4171,Sailor Moon Collectible Card Game
39007,Sniper!
6778,The Settlers of Zarahemla
28936,whale shogi
4407,Don't Miss the Boat!
6887,Hearts
313,Big Boss
5432,snakes and ladders
315,bagh-chal
5404,Amun-Re
3228,Pueblo
29396,senterej
11646,Piquet
2322,Malefiz
40531,Cosmic Encounter
1915,Middle-earth Collectible Card Game
1602,Royal Game of Ur
171,chess
1502,Hotel
4091,Epic
7451,Jarnac
938,Enchanted Forest
12333,Twilight Struggle
2759,Havannah
28096,De Bellis Magistrorum Militum
12995,Dungeon Twister
8304,So Long Sucker
10565,Fits
864,Mage Knight
1063,Schraumen
34189,Aficionado
23977,Hell Dorado
1452,Mhing
38343,Ad Astra
925,Werewolf
17025,Poison
57390,Catacombs
40354,Maria
10073,Triumph
1890,Plateau
5035,Panzer Armee Afrika
4866,Park and Shop
14662,NE-spelet
6946,Wolfpack
86128,Barons
300531,Paleo
5724,The Great Patriotic War: Nazi Germany vs. the Soviet Union
354886,Quacks & Co.: Quedlinburg Dash
8754,The Moscow Campaign
112138,Krosmaster: Arena
140620,Lewis & Clark: The Expedition
53093,Heroes of Normandie
6914,Beda Fomm
7032,Eagle Day: The Battle of Britain
2666,A Mighty Fortress
4372,Froop!
147114,Get the white!
19622,A Victory Lost: Crisis in Ukraine 1942-1943
24025,Attacktix Battle Figure Game Marvel Superheroes
16395,Blokus Duo
23950,Viktory II
37371,Piece o' Cake
42617,Dune Express
55660,Dixit: Quest
75223,Utopia Engine
39217,Fighting Formations: Grossdeutschland Motorized Infantry Division
2599,Valkenburg Castle
2150,London's Burning
20545,Rory's Story Cubes
3662,BattleFleet Mars
3667,Star Fleet Battle Manual
4139,Rommel's Panzers
2709,The Beastlord
2678,Voyage of the B.S.M. Pandora
3036,Kung Fu 2100
1633,Spies!
244144,Catan Histories: Rise of the Inka
3896,Struggle for the Throne
12962,Reef Encounter
2524,Starforce: Alpha Centauri
2808,The Russian Campaign
4105,The Wheel of Time Collectible Card Game
15364,Vegas Showdown
41254,Sune och ryska posten
11901,tic-tac-toe
422,1835
217,A la carte
3656,score four
421,1830: The Game of Railroads and Robber Barons
1294,Cluedo
2065,shogi
38735,The Swarm
16320,Bonnie and Clyde
290484,Unsettled
12314,Newmarket
4411,Citadel
2088,Coup
28023,Jamaica
58281,Summoner Wars
16498,Inka
4147,Spellbinder
32270,Catan Geographies: Settlers of Hesse
298477,Tellstones: King's Gambit
4316,Belter
2262,Mythology
2743,Starfall
135611,Game of the Owl
5541,Barbarossa: The Russo-German War 1941-45
8736,Kasserine Pass
41066,Virgin Queen
7502,Leros: The Island Prize
7625,Tomorrow the World
719,Tyranno Ex
8727,"U.S.N.: The Game of War in the Pacific, 1941–43"
3268,Bunker Poker
332686,John Company
15987,Arkham Horror (2nd Edition)
11949,Shifting Sands: The Campaign for North Africa 1940-1943
38531,Powerboats
63778,Word on the Street Junior
2993,Carcassonne: Expansion 1 - Inns & Cathedrals
271601,Feed the Kraken
261683,Cloomba
104577,Chazz
94104,Omen: A Reign of War
31725,The Crocodile-Game
12677,High Bohn Plus
247763,Underwater Cities
3062,Pyramis
161936,Pandemic Legacy: Season 1
7377,Tri-Ba-Lance
20685,Henne Berta
3039,Swordquest
1781,The Warlord Game
5200,Helltank
22706,Geoprimo
2837,Ant Wars
3242,Clash of the Gladiators
10301,"The Battle of Nations: The Encirclement at Leipzig, 16–19 October 1813"
13337,whist
9674,Ingenious
3219,Demonworld
4148,Mehen
17710,Conquest of the Empire
1334,Entdecker
2938,Zatre
21270,fortress chess
1231,Bausack
2288,Blood Bowl
891,Cranium
43528,World Without End
12745,Teetotum
949,TwixT
7688,Memory (game)
3072,Necromunda
1098,Judge Dredd
623,Swashbuckler
29581,Tomb
56692,Parade
3190,Quixo
92643,Artus
3486,Bataclan
906,Abilene
3972,Catan: Portable Edition
198830,"Heroes of Land, Air & Sea"
71973,Crows
218311,Deckscape: Test Time
3615,Agincourt
3712,Tac Air
172,For Sale
494,Ave Caesar
5174,Lingua
4290,Pickett's Charge
32341,Cockroach Salad
7865,10 Days board games
1712,Showbiz
260428,Pandemic: Fall of Rome (2018)
159492,The Game of 49
211,Times to Remember
5276,Verdun: The Game of Attrition
430,Asterix – The cardgame
11778,Cat & Mouse
3707,Red Storm Rising
3643,Spellmaker
30601,DDR-Reise
440,Zoff in Buffalo
31335,Jantaris
4095,Star Munchkin
14249,Pank-a-Squith
702,Wabbit Wampage
2736,The Lonely Mountain
1829,Risk 2210 A.D.
11182,Super Scrabble
14247,The Mansion of Happiness
7215,To the Green Fields Beyond
1442,Victory in the Pacific
3466,WarpWar
199042,Harry Potter: Hogwarts Battle
12938,Star Trek: The Next Generation: The Board Game
2389,Othello
9385,Yota
10997,Boomtown
2511,Sherlock Holmes Consulting Detective
38545,Kamisado
5364,makruk
27173,Vikings
35488,The Name of the Rose
363307,Evergreen
4688,Angola
6943,Coral Sea
1101,Flying Carpet
1782,Ancients
1246,Insecta (board game)
52825,De Kolonisten van de Lage Landen
7794,Valley Forge
22245,Royal Visit
8538,Ironbottom Sound
2952,Trivial Pursuit
681,Quarto
7003,The Battle of Britain
7640,The Fall of Tobruk
741,Trajan
147999,Händler der Karibik
18745,Sun Tzu
117838,Oz Fluxx
9092,Avalam
5940,Bug Hunter
8481,Crusader Rex
21348,Ticket to Ride: Märklin
40935,Zoowaboo
31784,Carcassonne: Expansion 5 - Abbey & Mayor
29603,D-Day at Omaha Beach
102548,Dungeon Fighter
17329,Animal Upon Animal
158991,Hannin Wa Odoru
172596,Monster My Neighbor
1738,Castle of Magic
5130,Afrikan tähti
1435,4000 AD
28962,No Time For Sergeants
115997,Co-opoly
31016,We Didn't Playtest This At All
4408,Cyborg
5484,King Arthur
4204,Tunisia
42215,Tobago
21754,Nottingham
1571,Sanctuary
4150,Bakari
4355,Therapy
66362,Glen More
1868,Conquistador
1719,Dark Emperor
9950,Free Willy Game
18401,Wacht am Rhein
4587,Roller Coaster Hippo
1510,Class Struggle
2784,Plague!
8782,"Narvik: The Campaign in Norway, 1940"
5155,Dorada
10973,Dice games properly explained
35964,duck! duck! Go!
30450,Railways of Europe
55427,Mr. Jack in New York
43018,Agricola: Farmers of the Moor
21385,Carcassonne: Expansion 4 - The Tower
1187,The Fellowship of the Ring
65532,Defenders of the Realm
387780,Rats of Wistar
295895,Distilled
419704,Phoenix: New Horizon
1143,Warrior Knights
14321,Wortfix
1012,Die Magier
141517,A Study in Emerald
73725,Dragon Riders Triumphant
3042,Survival / The Barbarian
163983,Squirrel or Die
18833,Lord of the Rings: The Confrontation
28218,Cash-a-Catch
30869,Thebes
34635,Stone Age
25772,Astoria
41247,Mia
25213,30 Seconds
28050,Pixel
33690,ludus duodecim scriptorum
2536,Vabanque
6383,Life Style
14040,¡New Amici!
12570,Provopoli
7854,YINSH
91424,Plan social
11229,Star Wars Miniatures
3384,Kerrunch
1589,Star Fleet Battles
10815,craps
15832,Professional eater
2136,Ludo
5217,Eleusis
7108,three-player chess
68264,No Retreat! The Russian Front
448353,World Traveler Board Game
2162,"Warhammer 40,000"
878,Wyatt Earp
1519,Kult
670,Starship Troopers
12168,D-Day
1816,Mississippi
1501,Masterpiece
58099,Granada
2280,Marco Polo
2388,Dark Nebula
7334,Knockout
265,Intrigue
2720,Shooting Stars
19803,Martian chess
731,Escape from New York
2209,Klondike
156009,Port Royal
2285,Dark Future
3467,Star Quest
877,Troia
42452,Rattus
788,Tales of the Arabian Nights
1149,DragonStrike
1708,Stellar Conquest
17027,Sitting Ducks
1146,Shadowlord
21918,Kampen om Rai
5694,Highly Suspect
4281,Freeloader
1933,Key to the Kingdom
7290,Dynasty League Baseball
9597,Noah's Park
8487,Ants in the Pants
2236,Streets of Stalingrad
7966,Nomad Gods
10224,Strike Team Alpha
15005,Rift Trooper
1484,Clue: The Great Museum Caper
12065,Wig Out
875,Roads & Boats
11371,Hey Pa! There's a Goat on the Roof
4832,Allenby's Blitzkrieg
3040,Star Trek II: Starship Combat Simulator
4634,Warhammer Warriors Battle Books
1920,Mine a Million
137,Pass the Bomb
710,Snit's Revenge
1194,Speed Circuit
5740,Strat-O-Matic Football
162,The Awful Green Things From Outer Space
714,Talisman
559,Metro
4325,Conflict
940,Karawane
140,Pit
963,Carat
249,Lifeboats
210,Don Pepe
248,Blood Royale
327,Looping Louie
39602,Moruba
1275,221B Baker Street
39610,Obridjie
354,Sticheln
713,Nuclear War
13089,Wie ich die Welt sehe...
520,Axis & Allies: Europe
25990,Cavaliers and Roundheads
185,Devil Bunny Needs a Ham
6535,Don't Wake Daddy
99,Fortress America
2402,Ghoulash: The Last Game on Earth
698,Gother Than Thou
37058,Micro shogi
83477,Heian shogi
10213,Fox games
257,Kill Doctor Lucky
3086,Omega Virus
3837,Rat-a-Tat Cat
4643,Fire and Ice
23033,Push
22303,Celebrity
25260,Garden Party
2235,Ido
1444,SPQR
12692,Gloom
24068,Shadow Hunters
14035,Piranha Pedro
19996,Magician's Night
12747,Scarabeo
19671,Battlestar Galactica Collectable Card Game
27364,Caylus Magna Carta
9388,Toc Toc Toc !
3542,XIII: Le Complot
25292,Merchants & Marauders
22827,StarCraft: The Board Game
12646,Acronymble
17480,Battlelords
38707,Bushido (game)
59946,Dungeons & Dragons: Castle Ravenloft Board Game
23387,Conan Collectible Card Game
92044,Conquest of Nerath
5864,Flight of the Goeben
13713,peg solitaire
25643,Arkadia
1917,Stratego
16369,Das Kleine Gespenst
2944,Halli Galli
37111,Battlestar Galactica: The Board Game
9735,Duell
9609,War of the Ring
27588,Zooloretto
19432,hexagonal chess
2655,Hive
9209,Ticket to Ride
1295,Pente
29146,Okey
13884,The Scepter of Zavandor
30596,grand chess
8166,Anno 1503
25613,Through the Ages: A Story of Civilization
18936,Bauernschnapsen
13726,Hyena chase
27746,Colosseum
5316,Epic
224031,Cartagena
16596,Jetan
14188,bughouse chess
37730,Im Fadenkreuz: Europa
37904,Formula D
2136,Parcheesi
3699,Killer Bunnies and the Quest for the Magic Carrot
8203,"Hey, That's My Fish!"
814,Aquarius
1329,Entropy
1387,Alaska
4173,Anzio
104006,Village
14123,Apocalypse
5242,Y
2559,Blockade
21845,Crossings
2891,Starfire
2168,Hitler's War
13745,Bul
2025,Frag
9028,Tongiaki
798,Ace of Aces
22345,Yspahan
6824,De l'Orc pour les braves
109797,Kharbaga
6346,NBA Showdown
18794,SuperGang
12493,Twilight Imperium
2998,Reds!
48871,Irensei
1923,MindTrap
18243,Parthenon: Rise of the Aegean
7065,Pusher
4294,The Thin Red Line
5052,Austerlitz
3663,Outreach
73765,Jericho
72125,Eclipse
99219,Swish
12385,Bladestorm
4537,Baston
182028,Through the Ages: A New Story of Civilization
5244,Star Wars: Destroy Death Star
4472,Arnhem Bridge
8360,Lost Battles: Operational Combat in Russia
9441,Ribbit
92499,Djam
10682,Atlas & Zeus
11607,Collection particulière
200147,Kanagawa
12898,La Bataille d'Auerstædt
17396,Manoeuvre
3507,Go Golly!
4598,Word Rummikub
17851,Pizza Box Football
20881,You Must Be an Idiot!
32125,Felicity: The Cat in the Sack
30933,BANG! The Bullet!
108831,Kulami
22038,Warrior Knights
97903,Terror in Meeple City
105593,Cheating Moth
11972,Monte Rolla
1710,The Siege of Jerusalem
66825,Kraken-Alarm
10511,Gute Freunde
13542,De Ontembare Stad
4683,Prochorovka: Armor at Kursk
5199,The Lords of Underearth
10989,ConHex
11378,Deep Space Navigator
84419,Space Empires 4X
17240,That's Life!
167270,Medina
123417,bagatelle
35497,Fauna
87893,Take It or Leave It
40692,Small World
34084,Witch's Brew
73171,Earth Reborn
17530,Go-Stop
25120,cheskers
30795,Babylon 5: A Call to Arms
58565,Panic Tower!
35704,Shadows over Camelot: Merlin's Company
31887,AmuseAmaze
20253,Diaballik
39481,Katro
28298,Bendomino
